Wall,Reference,Title,Grade,Length,Quality,Bolts,NOTE,,,
Globe Wall,DH,Dirty Harry,18,,0,4,Up the corner. Originally climbed as a trad route.Retro bolted 2011. Dave Fearnley 1993,,,
Globe Wall,FLP,Feeling Lucky Punk?,25,15m,3,3,Right of the corner. Nick Sutter 1991,,,
Globe Wall,MmD,Make My Day,25,15m,3,3,Up a red streak. 2nd route R of the corner. Dave Fearnley 1998,,,
Globe Wall,,Overkill,25,,2.01,8,From the Make My Day start moves right and continues to top of the crag - the only line here that climbs the upper wall.The break is a bit friable so make sure there's nobody in the drop zone. 8 Bolts. Tony Ward-Holmes 2008,,,
Globe Wall,Gy,Gravity,24,16m,2.01,4,"Move up to the big pockets, finishing on the runout headwall. Dave Fearnley 1988",,,
Globe Wall,PF,Power Failure,23,15m,1.02,4,Climb the Rh-side of small nose. Neil Parker 1998,,,
Globe Wall,,Windfall (formerly known as Slapstick),24,,1.02,5,"Some would call this black humour. A good route that weaves its way up between Powerfailure and Body Nazi's - A large branch used to threaten a fall but it came crashing down in a big storm in 2011. Go right at the last bolt, then back left to mantle. Tony Ward-Holmes 2008",,,
Globe Wall,,Body Nazis,25,15m,1.02,5,"Start on small hold, and move up into slopey territory. Has a vicious pocket. Simon Middlemass 1991",,,
Globe Wall,,Celluloid Heroes,24,15m,1.02,4,Climb through the bulge on the Rh-side of the wall. Simon Midddlemass 1991,,,
Globe Wall,,Weetbix Heroes,24,12m,1.02,5,"The short, sharp arete. Pete Smale 1991",,,
Globe Wall,,Harry Potter on Crack,15,,0,,Lh leaning corner and ramp. Dave Roberts 2002,,,
Globe Wall,,Monkey Master,28,18m,0,,"Immediately right of the corner. Start on the wall with a medium cam to protect the start, tackles the crux roof on the left. Way hard if you are short.Continue to the top. Sebastian Loewensteijn 2004",,,
Globe Wall,,Stoned Monkey,28,18m,2.01,4,Lh-side of the flowstone. Nick Sutter 1992,,,
Globe Wall,BW,The Beast Within,26,18m,2.01,5,"Use the same start as P, move L past the break. Nick Sutter 1991",,,
Globe Wall,Po,Papageno,27,15m,1.02,4,The 2nd red streak L of the corner. Helmut Neswadba 1993,,,
Globe Wall,Cw,Cloudwalker,27,18m,2.01,4,The red streak Lof the corner. Nick Sutter 1991,,,
Globe Wall,FB,The Fat Fight Back,21,,1.02,6,Up the corner past the flowstone. Simon Middlemass 2002,,,
Globe Wall,,Greenday,10,,0,7,Between Cloudwalker wall and Electricorp Production right of The Fat fight back. Good spot for pics of climbers on the Cloudwalker wall. Climbed well before 2007 Jasper Carrot 11/07,,,
Globe Wall,EP,Electricorp Production,22,18m,3,5,Up the Lh-side of the Electricorp Wall - the wall within the fenced area. Damian Carrol 1991,,,
Globe Wall,SG,Send a Gorrilla,23,18m,3,4,Climb the steep wall to the L of the totara Al Mark 1989,,,
Globe Wall,FP,Feral Pakeha,23,,2.01,9,"Start behind the totara. Climb through bulge, move R-wards and up the wall. Parrish Robins 1991",,,
Globe Wall,PE,Positive Energy,23,,1.02,8,The slightly overhung route to the Lh-side of S. Mike Rockell 1992,,,
Globe Wall,,Gollum,25,,0,8,Start on the ground to the L of S and join and finish S at the 2nd bolt. Helmut Neswadba 1993,,,
Globe Wall,Sc,Superconductor,23,25m,3,7,"Start on Lh-side of the block, go L-wards through the bulge. once over the bulge veer R-wards up the head wall. Neil Parker 1988",,,3
Globe Wall,,Creative Confusion,27,15m,3,7,Start on the block and head R-wards throught the bulge. Join S back Left on the head wall. Eric Talmadge 1991,,,
Globe Wall,1,,25,16m,,5,Start on the wall veer R at the 2nd bolt. Climb the arete to end of the pitch.,,,
Globe Wall,2,,28,12m,,4,Move R from the belay and up the wall above.,,,
Little Lost Wall,,Wrinkle,16,9m,1.02,3,Lh side of the wall Peter Fountain 1998,,,
Little Lost Wall,,Candy Man,18,18m,1.02,4,Avoid using the flake at the start. To the left of JG Willie Butler 1998,,,
Little Lost Wall,,Jerry Garcia,16,9m,1.02,4,To the left of the flowstone. The Toad 1995,,,
Little Lost Wall,,Lost Soul,21,9m,2.01,3,Face climbing on slopers Simon Middlemass 1993,,,
Little Lost Wall,EI,Ecological Itch,14,9m,0,3,Up the juggy wall. Penny Excell 1992,,,
Little Lost Wall,DL,Doo-little,16,9m,2.01,3,Up the face between EI &TWT. Polly Stupples 1992,,,
Little Lost Wall,WT,The Wrong Trousers,14,9m,1.02,3,The juggy climb just left of the arete. Kirstie McLeod 2002,,,
Little Lost Wall,WB,Wobbly Bits,13,9m,1.02,2,Climb the steep ramp. The Toad 1995,,,
Little Lost Wall,LR,Lucy and the Sky with Prismatic Raindrops,14,9m,1.02,2,Start at the practice anchor. Willie Butler 2002,,,
Little Lost Wall,BR,The Bell-ringer,10,9m,0,2,Jug haul The Toad 1995,,,
Little Lost Wall,MH,Mind the Hebes,12,9m,1.02,2,Climb the slabby face. The Toad 1995,,,
Little Lost Wall,DD,Damsel in Dis-dress,15,10m,1.02,3,Left of the flowstone and KP The Toad 1997,,,
Little Lost Wall,,Knicknack Paddywack,18,15m,2.01,4,"Left of the arete, on featured holds. The Toad 1996",,,
Little Lost Wall,,Side Effects,25,,2.01,5,Troy Stevenson,,,
1080 Gully Wall,,Mea Culpa,27,16m,1.02,5,Just right of the KP arete. Brian Alder 1992,,,
1080 Gully Wall,,Porkage,24,,0,3,The corner and wall Al Mark 1992,,,
1080 Gully Wall,,Bury Me in a Y Shaped Coffin,"21 ,18",,0,11,,,,
1080 Gully Wall,1,,21,,,6,"Lh start. Climb wall to the R of a Lh faciing corner, to a crack then onto a ledge.",,,
1080 Gully Wall,,"Lh start. Climb wall to the R of a Lh faciing corner, to a crack then onto a ledge.",,,,,,,,
1080 Gully Wall,2,,18,,,5,"Rh Start. Start at chimney, gain the crack to the common finish.",,,
1080 Gully Wall,,Release the Bats,18,,0,2,"Cilmb the overhung corner/crack, pull through the roof into the chimney to the terrace then onto the top via the crack. Damian Carroll 1991",,,
1080 Gully Wall,,It's A Beautiful Day,17,,1.02,2,Start at the Lh side of the arete. Veer leftwards. Kirstie McLeod 2002,,,
1080 Gully Wall,,Misery,22,,0,3,On the block below the main crag. Wall on the Rh side of the arete. John Van 1992,,,
1080 Gully Wall,1,,21,,,6,"Lh start. Climb wall to the R of a Lh faciing corner, to a crack then onto a ledge.",,,
1080 Gully Wall,2,,18,,,5,"Rh Start. Start at chimney, gain the crack to the common finish.",,,
Wall of Thugs (upper),,Sex Lies & Videotapes,24,,0,,Above 1080 & the letter G. Wolfgang,,,
Wall of Thugs (upper),1080,1080 & the Letter G,23,13m,3,6,Step across from the belay ledge and ascend the exposed roof. Colin Phol & Lionel Clay 1991,,,
Wall of Thugs (upper),TT,Typhoon Tongue,22,13m,2.01,6,"Start on the 1080 ledge, move right and climb through the roof parralell and to the right of 1080. Chris Burtenshaw 1998",,,
Wall of Thugs (upper),JJ,Java Jive,22,12m,1.02,6,A direct line about 4m R of the Typhoon Tongue start. It joins BHB at it's traverse and they share the same finish. There is a DBB below the ledge that allows you to view your leader. Simon Middlemass 1998,,,
Wall of Thugs (upper),BHB,Burn Hollywood Burn,21,13m,2.01,6,"Starts R of JJ where the ledge is constricted, goes up for about 3 bolts before traversing left to finish over the top. Simon Middlemass 1998",,,
Wall of Thugs (upper),Wt,Wilt,21,10m,1.02,4,Goes through Rh end of roof climb just right of the flowstone. Al Mark 1992,,,
Wall of Thugs (upper),IS,Intensive Scare,24,12m,1.02,5,"Starts at Rh end of the 1080 ledge, jug crank and reach through the roof. Martin Wilson 1992",,,
Wall of Thugs (upper),,Head Line,26,,3,5,"Starts 3m right of Intensive Scare. Step off the very end of the ledge and head straight out across roof. 5B. ""A definite contender for the most outrageous position at Paynes, wild moves on solid holds the whole way!"" Recommend a back belay to Intensive Scare chain for more enjoyable climbing /belay experience. A 60m rope is essential to lower/abseil off the anchors. Rich Turner 2008",,,
Wall of Thugs (upper),BMJ,Big Mama Jama,26,12m,2.01,7,Starts as for the 2nd pitch to Dread Carefully. Move left at the 3rd bolt to ascend the wall. Jeremy Strang 1992,,,
Red Wall,,Redgate,16,,0,,The Toad 1996,,,
Red Wall,,The Red Hand of Ulster,19,,0,,The Toad 1996,,,
Red Wall,,Bored of the Rings,19,,1.02,,Steve Moffat 1996,,,
Red Wall,,Fraulein Foreskin,23,,1.02,,Kristen Foley 1992,,,
